r_a1b2 = 4513 mm  at t = 5585296 ms, current time = 3.626
r_b1b2 = 3488 mm  at t = 2662542 ms, current time = 3.642
r_a1a2 = 3535 mm  at t = 5585378 ms, current time = 3.708
r_b1a2 = 2500 mm  at t = 2662624 ms, current time = 3.725
r_a1b2 = 4513 mm  at t = 5585411 ms, current time = 3.741
r_b1b2 = drop 
r_a1a2 = 3507 mm  at t = 5585487 ms, current time = 3.817
r_b1a2 = 2477 mm  at t = 2662733 ms, current time = 3.834
r_a1b2 = 4499 mm  at t = 5585520 ms, current time = 3.85
r_b1b2 = 3493 mm  at t = 2662766 ms, current time = 3.867
r_a1a2 = 3558 mm  at t = 5585603 ms, current time = 3.933
r_b1a2 = 2514 mm  at t = 2662849 ms, current time = 3.949
r_a1b2 = 4490 mm  at t = 5585635 ms, current time = 3.965
r_b1b2 = 3516 mm  at t = 2662881 ms, current time = 3.982
r_a1a2 = 3562 mm  at t = 5585718 ms, current time = 4.048
r_b1a2 = 2519 mm  at t = 2662964 ms, current time = 4.064
r_a1b2 = 4616 mm  at t = 5585750 ms, current time = 4.08
r_b1b2 = 3521 mm  at t = 2662996 ms, current time = 4.097
r_a1a2 = 3544 mm  at t = 5585833 ms, current time = 4.164
r_b1a2 = 2477 mm  at t = 2663079 ms, current time = 4.18
r_a1b2 = 4541 mm  at t = 5585866 ms, current time = 4.196
r_b1b2 = 3488 mm  at t = 2663112 ms, current time = 4.213
r_a1a2 = 3483 mm  at t = 5585949 ms, current time = 4.279
r_b1a2 = 2524 mm  at t = 2663195 ms, current time = 4.295
r_a1b2 = 4536 mm  at t = 5585981 ms, current time = 4.312
r_b1b2 = 3497 mm  at t = 2663227 ms, current time = 4.328
r_a1a2 = 3535 mm  at t = 5586064 ms, current time = 4.395
r_b1a2 = 2561 mm  at t = 2663310 ms, current time = 4.411
r_a1b2 = 4531 mm  at t = 5586096 ms, current time = 4.427
r_b1b2 = 3502 mm  at t = 2663343 ms, current time = 4.443
r_a1a2 = 3521 mm  at t = 5586179 ms, current time = 4.51
r_b1a2 = 2514 mm  at t = 2663425 ms, current time = 4.527
r_a1b2 = 4513 mm  at t = 5586212 ms, current time = 4.543
r_b1b2 = 3474 mm  at t = 2663458 ms, current time = 4.559
r_a1a2 = 3544 mm  at t = 5586295 ms, current time = 4.626
r_b1a2 = 2514 mm  at t = 2663541 ms, current time = 4.642
r_a1b2 = 4522 mm  at t = 5586327 ms, current time = 4.658
r_b1b2 = 3521 mm  at t = 2663573 ms, current time = 4.674
r_a1a2 = 3562 mm  at t = 5586410 ms, current time = 4.74
r_b1a2 = 2509 mm  at t = 2663655 ms, current time = 4.757
r_a1b2 = 4509 mm  at t = 5586442 ms, current time = 4.773
r_b1b2 = 3497 mm  at t = 2663688 ms, current time = 4.789
r_a1a2 = 3581 mm  at t = 5586524 ms, current time = 4.855
r_b1a2 = 2542 mm  at t = 2663770 ms, current time = 4.871
r_a1b2 = 4555 mm  at t = 5586557 ms, current time = 4.888
r_b1b2 = 3502 mm  at t = 2663803 ms, current time = 4.904
r_a1a2 = 3553 mm  at t = 5586639 ms, current time = 4.97
r_b1a2 = 2524 mm  at t = 2663885 ms, current time = 4.986
r_a1b2 = 4541 mm  at t = 5586671 ms, current time = 5.002
r_b1b2 = 3521 mm  at t = 2663917 ms, current time = 5.018
r_a1a2 = 3614 mm  at t = 5586754 ms, current time = 5.085
r_b1a2 = 2561 mm  at t = 2664000 ms, current time = 5.101
r_a1b2 = 4545 mm  at t = 5586786 ms, current time = 5.117
r_b1b2 = 3521 mm  at t = 2664032 ms, current time = 5.134
r_a1a2 = 3572 mm  at t = 5586869 ms, current time = 5.2
r_b1a2 = 2552 mm  at t = 2664115 ms, current time = 5.216
r_a1b2 = 4485 mm  at t = 5586901 ms, current time = 5.232
r_b1b2 = 3502 mm  at t = 2664147 ms, current time = 5.249
r_a1a2 = 3521 mm  at t = 5586984 ms, current time = 5.315
r_b1a2 = 2528 mm  at t = 2664230 ms, current time = 5.331
r_a1b2 = 4531 mm  at t = 5587016 ms, current time = 5.347
r_b1b2 = 3516 mm  at t = 2664262 ms, current time = 5.363
r_a1a2 = 3511 mm  at t = 5587098 ms, current time = 5.43
r_b1a2 = 2509 mm  at t = 2664345 ms, current time = 5.447
r_a1b2 = 4490 mm  at t = 5587131 ms, current time = 5.463
r_b1b2 = 3521 mm  at t = 2664377 ms, current time = 5.479
r_a1a2 = 3548 mm  at t = 5587214 ms, current time = 5.545
r_b1a2 = 2486 mm  at t = 2664460 ms, current time = 5.562
r_a1b2 = 4560 mm  at t = 5587246 ms, current time = 5.578
r_b1b2 = 3516 mm  at t = 2664492 ms, current time = 5.594
r_a1a2 = 3553 mm  at t = 5587329 ms, current time = 5.66
r_b1a2 = 2509 mm  at t = 2664575 ms, current time = 5.677
r_a1b2 = 4499 mm  at t = 5587361 ms, current time = 5.694
r_b1b2 = 3549 mm  at t = 2664608 ms, current time = 5.71
r_a1a2 = 3511 mm  at t = 5587445 ms, current time = 5.777
r_b1a2 = 2500 mm  at t = 2664691 ms, current time = 5.794
r_a1b2 = 4550 mm  at t = 5587478 ms, current time = 5.81
r_b1b2 = 3539 mm  at t = 2664724 ms, current time = 5.826
r_a1a2 = 3549 mm  at t = 5587561 ms, current time = 5.892
r_b1a2 = 2542 mm  at t = 2664807 ms, current time = 5.908
r_a1b2 = 4490 mm  at t = 5587593 ms, current time = 5.925
r_b1b2 = 3521 mm  at t = 2664839 ms, current time = 5.941
r_a1a2 = 3530 mm  at t = 5587676 ms, current time = 6.008
r_b1a2 = 2505 mm  at t = 2664922 ms, current time = 6.024
r_a1b2 = 4504 mm  at t = 5587708 ms, current time = 6.04
r_b1b2 = 3511 mm  at t = 2664954 ms, current time = 6.056
r_a1a2 = 3502 mm  at t = 5587791 ms, current time = 6.123
r_b1a2 = 2533 mm  at t = 2665037 ms, current time = 6.139
r_a1b2 = 4518 mm  at t = 5587824 ms, current time = 6.156
r_b1b2 = 3521 mm  at t = 2665070 ms, current time = 6.172
r_a1a2 = 3553 mm  at t = 5587906 ms, current time = 6.239
r_b1a2 = 2547 mm  at t = 2665153 ms, current time = 6.255
r_a1b2 = 4527 mm  at t = 5587939 ms, current time = 6.272
r_b1b2 = 3497 mm  at t = 2665186 ms, current time = 6.288
r_a1a2 = 3493 mm  at t = 5588022 ms, current time = 6.355
r_b1a2 = 2519 mm  at t = 2665269 ms, current time = 6.372
r_a1b2 = 4513 mm  at t = 5588056 ms, current time = 6.389
r_b1b2 = 3511 mm  at t = 2665303 ms, current time = 6.405
r_a1a2 = 3525 mm  at t = 5588139 ms, current time = 6.472
r_b1a2 = 2514 mm  at t = 2665385 ms, current time = 6.488
r_a1b2 = 4536 mm  at t = 5588172 ms, current time = 6.505
r_b1b2 = 3511 mm  at t = 2665418 ms, current time = 6.521
r_a1a2 = 3488 mm  at t = 5588255 ms, current time = 6.588
r_b1a2 = 2570 mm  at t = 2665501 ms, current time = 6.604
r_a1b2 = 4490 mm  at t = 5588288 ms, current time = 6.62
r_b1b2 = 3539 mm  at t = 2665534 ms, current time = 6.637
r_a1a2 = 3521 mm  at t = 5588371 ms, current time = 6.703
r_b1a2 = 2542 mm  at t = 2665617 ms, current time = 6.719
r_a1b2 = 4588 mm  at t = 5588403 ms, current time = 6.736
r_b1b2 = 3525 mm  at t = 2665649 ms, current time = 6.752
r_a1a2 = 3507 mm  at t = 5588485 ms, current time = 6.819
r_b1a2 = 2533 mm  at t = 2665732 ms, current time = 6.835
r_a1b2 = 4518 mm  at t = 5588518 ms, current time = 6.852
r_b1b2 = 3474 mm  at t = 2665765 ms, current time = 6.868
r_a1a2 = 3474 mm  at t = 5588602 ms, current time = 6.934
r_b1a2 = 2495 mm  at t = 2665848 ms, current time = 6.951
r_a1b2 = 4485 mm  at t = 5588634 ms, current time = 6.966
r_b1b2 = 3539 mm  at t = 2665880 ms, current time = 6.983
r_a1a2 = 3525 mm  at t = 5588716 ms, current time = 7.049
r_b1a2 = 2519 mm  at t = 2665962 ms, current time = 7.066
r_a1b2 = 4527 mm  at t = 5588749 ms, current time = 7.082
r_b1b2 = 3455 mm  at t = 2665995 ms, current time = 7.098
r_a1a2 = 3525 mm  at t = 5588831 ms, current time = 7.164
r_b1a2 = 2538 mm  at t = 2666077 ms, current time = 7.181
r_a1b2 = 4531 mm  at t = 5588864 ms, current time = 7.197
r_b1b2 = 3479 mm  at t = 2666110 ms, current time = 7.213
r_a1a2 = 3488 mm  at t = 5588947 ms, current time = 7.28
r_b1a2 = 2495 mm  at t = 2666194 ms, current time = 7.297
r_a1b2 = 4541 mm  at t = 5588980 ms, current time = 7.314
r_b1b2 = 3507 mm  at t = 2666227 ms, current time = 7.33
r_a1a2 = 3488 mm  at t = 5589063 ms, current time = 7.397
r_b1a2 = 2528 mm  at t = 2666310 ms, current time = 7.413
r_a1b2 = 4560 mm  at t = 5589096 ms, current time = 7.43
r_b1b2 = 3511 mm  at t = 2666343 ms, current time = 7.446
r_a1a2 = 3479 mm  at t = 5589179 ms, current time = 7.512
r_b1a2 = 2514 mm  at t = 2666425 ms, current time = 7.528
r_a1b2 = 4509 mm  at t = 5589211 ms, current time = 7.544
r_b1b2 = 3548 mm  at t = 2666457 ms, current time = 7.56
